ISO;Score 2025;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
XKX;5273;99;4461;93;3988;101;6854;61;5728;100;5335;117;UE Balkans;Kosovo;Kosovo;Kosovo;Kosovo ;??????;??????;2025;75;-24;6019;-7,46
AGO;5267;100;3868;118;3025;155;5694;101;6382;76;7366;98;Afrique;Angola;Angola;Angola;Angola ;??????;??????;2025;104;4;5244;0,23
MOZ;5263;101;3965;112;4097;93;6373;79;6509;71;5369;116;Afrique;Mozambique;Mozambique;Mozambique;Moçambique ;???????;????????;2025;105;4;5242;0,21
MNG;5257;102;4126;106;3615;116;5957;94;6498;73;6089;112;Asie-Pacifique;Mongolie;Mongolia;Mongolia;Mongólia ;???????;????????;2025;109;7;5134;1,23
GIN;5253;103;4133;103;4701;68;6244;86;6565;69;4622;129;Afrique;Guinée;Guinea;Guinea;Guiné ;?????;????;2025;78;-25;5997;-7,44
MDV;5246;104;3773;123;3603;118;5552;103;4551;133;8753;56;Asie-Pacifique;Maldives;Maldives;Maldivas;Maldivas ;????????;??????;2025;106;2;5236;0,1
BFA;5225;105;419;102;5038;55;5941;95;6275;80;4682;126;Afrique;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso ;??????? ????;???????????;2025;86;-19;5824;-5,99
ZWE;521;106;3671;126;3846;107;542;110;5235;118;788;87;Afrique;Zimbabwe;Zimbabwe;Zimbabue;Zimbábue ;????????;????????;2025;116;10;5031;1,79
LSO;5207;107;4055;109;3314;137;4415;135;5655;103;8594;64;Afrique;Lesotho;Lesotho;Lesoto;Lesoto ;??????;??????;2025;122;15;4892;3,15
TCD;5189;108;4867;80;4375;78;591;96;645;74;434;138;Afrique;Tchad;Chad;Chad;Chade ;????;???;2025;96;-12;5481;-2,92
SSD;5163;109;361;129;4182;89;5531;107;5498;108;6993;104;Afrique;Soudan du Sud;South Sudan;Sudán del Sur;Sudão do Sul ;??????? ???? ???????;????? ?????;2025;136;27;4257;9,06
GNB;5136;110;41274;104;3625;114;555;104;5154;119;7226;100;Afrique;Guinée-Bissau;Guinea-Bissau;Guinea-Bisáu;Guiné-Bissau ;????? ?????;???? ??????;2025;92;-18;5595;-4,59
HTI;51061;111;4858;82;3703;112;6068;92;6721;64;418;139;Amériques;Haïti;Haiti;Haití;Haiti ;?????;??????;2025;93;-18;5592;-4,86
ISR;51055;112;5188;66;5637;37;487;122;6092;87;3741;148;MENA;Israël;Israel;Israel;Israel ;???????;???????;2025;101;-11;5323;-2,17
MDG;508;113;3799;122;307;153;5535;105;5248;117;775;92;Afrique;Madagascar;Madagascar;Madagascar;Madagascar ;??????;??????????;2025;100;-13;5407;-3,27
