ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
XKX;6838;56;6295;56;5028;68;8026;28;7549;61;7295;88;UE Balkans;Kosovo;Kosovo;Kosovo;Kosovo ;كوسوفو;کوسووو;2023;61;5;67;1,38
POL;6766;57;5015;112;5502;52;6903;64;7828;49;8582;37;UE Balkans;Pologne;Poland;Polonia;Polônia ;بولندا;لهستان;2023;66;9;6564;2,02
BFA;6764;58;6281;57;5833;41;6745;69;8125;38;7555;83;Afrique;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso ;بوركينا فاسو;بورکینافاسو;2023;41;-17;7312;-5,48
PNG;6762;59;5958;69;5131;64;6635;74;7197;72;8889;27;Asie-Pacifique;Papouasie-Nouvelle-Guinée;Papua New Guinea;Papúa Nueva Guinea;Papua-Nova Guiné ;بابوا غينيا الجديدة;پاپوآ گینه نو;2023;62;3;6666;0,96
GUY;675;60;5469;93;5882;40;5943;100;7983;45;8472;40;Amériques;Guyana;Guyana;Guyana;Guiana ;غويانا;گیانا;2023;34;-26;7641;-8,91
NER;6684;61;6268;60;416;118;6954;62;7403;67;8635;36;Afrique;Niger;Niger;Niger;Níger ;النيجر;نیجر;2023;59;-2;678;-0,96
GHA;6593;62;6188;63;4794;80;7962;31;7898;47;6125;103;Afrique;Ghana;Ghana;Ghana;Gana ;غانا;غنا;2023;60;-2;6743;-1,5
MUS;6556;63;5275;104;499;70;6198;91;8102;39;8213;58;Afrique;Maurice;Mauritius;Mauricio;Maurício ;موريشيوس;موریس;2023;64;1;6607;-0,51
BIH;6543;64;5527;90;451;100;7754;38;7102;73;7824;76;UE Balkans;Bosnie-Herzégovine;Bosnia-Herzegovina;Bosnia-Herzegovina;Bósnia-Herzegóvina ;البوسنة والهرسك;بوسنی هرزوگوین;2023;67;3;6564;-0,21
BWA;6461;65;5563;84;5044;67;5807;103;7879;48;8014;69;Afrique;Botswana;Botswana;Botsuana;Botsuana ;بوتسوانا;بوستاوانا;2023;95;30;5849;6,12
LBR;6434;66;555;86;3961;127;7698;43;80;43;6962;94;Afrique;Libéria;Liberia;Liberia;Libéria ;ليبيريا;لیبریا;2023;75;9;6277;1,57
LSO;6429;67;6438;51;4485;104;5597;112;6847;76;8778;30;Afrique;Lesotho;Lesotho;Lesoto;Lesoto ;ليسوتو;لسو‌تو;2023;88;21;5939;4,9
JPN;6395;68;5575;83;5632;47;6639;73;5932;105;8199;60;Asie-Pacifique;Japon;Japan;Japón;Japão ;اليابان;ژاپن;2023;71;3;6437;-0,42
PAN;6367;69;575;77;5163;62;6447;80;6477;86;80;70;Amériques;Panama;Panama;Panamá;Panamá ;بنما;پاناما;2023;74;5;6278;0,89
TGO;6306;70;545;95;4686;89;6019;96;6932;74;8445;44;Afrique;Togo;Togo;Togo;Togo ;توغو;توگو;2023;100;30;5717;5,89
BGR;6298;71;5825;73;3791;133;7025;57;6553;81;8294;53;UE Balkans;Bulgarie;Bulgaria;Bulgaria;Bulgária ;بلغاريا;بلغارستان;2023;91;20;5912;3,86
HUN;6296;72;4563;130;4394;112;7094;55;7262;70;8166;62;UE Balkans;Hongrie;Hungary;Hungría;Hungria ;المجر;مجارستان;2023;85;13;598;3,16
MYS;6283;73;5531;89;5294;57;4458;138;7585;60;8546;38;Asie-Pacifique;Malaisie;Malaysia;Malasia;Malásia ;ماليزيا;مالزی;2023;113;40;5155;11,28
SLE;6255;74;6545;49;479;81;659;77;7224;71;6127;102;Afrique;Sierra Leone;Sierra Leone;Sierra Leona;Serra Leoa ;سيراليون;سئیرالئون;2023;46;-28;7103;-8,48
COM;6225;75;5509;92;4972;72;6536;78;6185;92;7921;73;Afrique;Comores;Comoros;Comoras;Comores ;جزر القمر;کومور;2023;83;8;6016;2,09
CTU;6173;76;5618;80;4292;114;631;87;6345;90;8301;52;UE Balkans;Chypre du Nord;Northern Cyprus;Chipre del Norte;Chipre do Norte ;قبرص الشمالية;قبرس شمالی;2023;81;5;6108;0,65
GEO;6169;77;484;121;4717;87;76;47;75;63;619;100;EEAC;Géorgie;Georgia;Georgia;Geórgia ;جورجيا;گرجستان;2023;89;12;593;2,39
GNB;6157;78;5609;81;5172;61;7005;59;6506;84;6495;98;Afrique;Guinée-Bissau;Guinea-Bissau;Guinea-Bisáu;Guiné-Bissau ;غينيا بيساو;گینه بیسائو;2023;92;14;5879;2,78
UKR;6119;79;6063;65;6348;30;8066;26;804;40;2078;179;EEAC;Ukraine;Ukraine;Ucrania;Ucrânia ;أوكرانيا;اوکراين;2023;106;27;5576;5,43
ECU;6051;80;6052;66;616;33;7013;58;6155;93;4876;128;Amériques;Équateur;Ecuador;Ecuador;Equador ;الإكوادور;اکواتور;2023;68;-12;6461;-4,1
COG;6042;81;5758;76;4571;97;6215;90;5852;108;7817;77;Afrique;Congo-Brazzaville;Congo-Brazzaville; Congo-Brazzaville;Congo-Brazzaville ;الكونغو–برازافيل;کنگو برازاویل;2023;93;12;5864;1,78
MWI;6034;82;5257;106;476;83;6656;72;6023;98;7473;84;Afrique;Malawi;Malawi;Malaui;Malaui ;مالاوي;مالاوی;2023;80;-2;614;-1,06
CHL;6009;83;708;41;4748;84;6509;79;6558;80;5149;124;Amériques;Chili;Chile;Chile;Chile ;تشيلي;شیلی;2023;82;-1;6061;-0,52
MLT;5976;84;4646;128;4477;105;5723;108;6604;79;8431;45;UE Balkans;Malte;Malta;Malta;Malta ;مالطا;مالت;2023;78;-6;6155;-1,79
GIN;5951;85;60;67;4608;93;6285;88;6009;99;6855;95;Afrique;Guinée;Guinea;Guinea;Guiné ;غينيا;گینه;2023;84;-1;5982;-0,31
MRT;5945;86;5406;96;4706;88;5755;105;608;96;7778;78;Afrique;Mauritanie;Mauritania;Mauritania;Mauritânia ;موريتانيا;موریتانی;2023;97;11;581;1,35
ZMB;5941;87;6177;64;3889;130;5676;109;5814;111;8146;63;Afrique;Zambie;Zambia;Zambia;Zâmbia ;زامبيا;زامبیا;2023;109;22;554;4,01
MNG;5933;88;5466;94;3895;129;5961;99;6395;87;7949;71;Asie-Pacifique;Mongolie;Mongolia;Mongolia;Mongólia ;منغوليا;مغولستان;2023;90;2;5917;0,16
FJI;5927;89;5313;102;451;100;5597;112;6288;91;7926;72;Asie-Pacifique;Fidji;Fiji;Fiyi;Ilhas Fiji ;فيجي;فیجی;2023;102;13;5691;2,36
BTN;5925;90;6208;61;5049;66;4654;134;4951;136;8762;31;Asie-Pacifique;Bhoutan;Bhutan;Bután;Butão ;بوتان;بوتان;2023;33;-57;7646;-17,21
SRB;5916;91;4527;133;3915;128;7718;41;5987;103;7431;85;UE Balkans;Serbie;Serbia;Serbia;Sérvia ;صربيا;صربستان;2023;79;-12;6151;-2,35
